scenario_id,scenario_label,num_danger_zones,opponent,mean_attractor_field,mean_opponent,mean_diff_rank_minus_opponent,p_raw_t,p_holm_t,p_raw_wilcoxon,p_holm_wilcoxon,rank_biserial_r
1,ChrismasTerrain2 - Simple,0,SACPSO-Global,1783.101701,1590.772969,192.3287312,1,1,1,1,1
1,ChrismasTerrain2 - Simple,0,SACPSO-5Subgroup,1783.101701,1697.563019,85.53868159,1,1,1,1,1
1,ChrismasTerrain2 - Simple,0,SACPSO-PerParticle,1783.101701,2056.712818,-273.6111174,1,1,1,1,-1
2,ChrismasTerrain2 - Medium,5,SACPSO-Global,1783.360225,1654.45131,128.9089151,1,1,1,1,1
2,ChrismasTerrain2 - Medium,5,SACPSO-5Subgroup,1783.360225,1755.942458,27.41776756,1,1,1,1,1
2,ChrismasTerrain2 - Medium,5,SACPSO-PerParticle,1783.360225,1633.709371,149.6508545,1,1,1,1,1
3,ChrismasTerrain2 - Complex,10,SACPSO-Global,1711.497904,1461.377956,250.1199484,1,1,1,1,1
3,ChrismasTerrain2 - Complex,10,SACPSO-5Subgroup,1711.497904,1936.720975,-225.2230712,1,1,1,1,-1
3,ChrismasTerrain2 - Complex,10,SACPSO-PerParticle,1711.497904,1693.043487,18.45441725,1,1,1,1,1
4,terrainStruct_c_100 - Simple,0,SACPSO-Global,12615.30173,12490.34698,124.9547521,1,1,1,1,1
4,terrainStruct_c_100 - Simple,0,SACPSO-5Subgroup,12615.30173,12706.22618,-90.92445693,1,1,1,1,-1
4,terrainStruct_c_100 - Simple,0,SACPSO-PerParticle,12615.30173,13067.0943,-451.7925686,1,1,1,1,-1
