Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,1553.0847,163.2826,1.9703,5.5981,162.5598,0.0000,0.0000,0.0000,0.0000,37.1740,37.1740,1
1,SACPSO-Global,1,1604.1698,197.4856,3.9315,4.2630,148.0390,0.0000,0.0000,0.0000,0.0000,35.9232,35.9232,1
1,SACPSO-5Subgroup,1,1711.1137,181.9869,3.5202,4.6613,181.5019,0.0000,0.0000,0.0000,0.0000,35.4286,35.4286,1
1,SACPSO-PerParticle,1,1662.3785,180.0216,3.6241,4.1628,178.3594,0.0000,0.0000,0.0000,0.0000,35.8838,35.8838,1
2,AFSACPSO,1,1419.0136,189.7046,2.2105,3.8440,149.5732,0.0000,0.0000,0.0000,0.0000,36.6003,36.6003,1
2,SACPSO-Global,1,1595.3895,188.9138,4.8472,4.3024,129.5167,0.0000,0.0000,0.0000,0.0000,35.1697,35.1697,1
2,SACPSO-5Subgroup,1,1690.8409,196.8391,3.2904,4.1614,185.4485,0.0000,0.0000,0.0000,0.0000,35.2393,35.2393,1
2,SACPSO-PerParticle,1,1526.6805,181.0536,2.4969,4.3205,164.2028,0.0000,0.0000,0.0000,0.0000,35.7097,35.7097,1
3,AFSACPSO,1,1463.7513,171.7913,2.2761,4.1522,160.4367,0.0000,0.0000,0.0000,0.0000,36.1410,36.1410,1
3,SACPSO-Global,1,1692.9406,218.6089,5.4586,3.4233,147.1082,0.0000,0.0000,0.0000,0.0000,37.6421,37.6421,1
3,SACPSO-5Subgroup,1,1499.8215,161.6710,1.8272,4.6239,173.1935,0.0000,0.0000,0.0000,0.0000,35.0224,35.0224,1
3,SACPSO-PerParticle,1,1654.0606,171.6228,3.0872,3.9949,194.4613,0.0000,0.0000,0.0000,0.0000,35.1469,35.1469,1
4,AFSACPSO,1,1747.1785,194.1412,3.6567,5.0362,174.7987,0.0000,0.0000,0.0000,0.0000,37.0539,37.0539,1
4,SACPSO-Global,1,1520.8306,150.6160,1.3797,5.5751,172.5601,0.0000,0.0000,0.0000,0.0000,35.0547,35.0547,1
4,SACPSO-5Subgroup,1,1645.1223,170.8271,2.9084,4.0850,194.4070,0.0000,0.0000,0.0000,0.0000,35.6899,35.6899,1
4,SACPSO-PerParticle,1,1678.1537,155.0567,1.6219,4.5304,226.7578,0.0000,0.0000,0.0000,0.0000,35.2175,35.2175,1
5,AFSACPSO,1,1632.4806,174.1072,2.9439,4.1461,187.8677,0.0000,0.0000,0.0000,0.0000,37.4582,37.4582,1
5,SACPSO-Global,1,1566.7547,199.6085,3.6627,3.2195,165.1399,0.0000,0.0000,0.0000,0.0000,37.5220,37.5220,1
5,SACPSO-5Subgroup,1,1656.0553,152.2633,1.6721,4.8220,215.2765,0.0000,0.0000,0.0000,0.0000,34.0517,34.0517,1
5,SACPSO-PerParticle,1,1622.0233,153.0273,1.3591,3.5550,239.3686,0.0000,0.0000,0.0000,0.0000,35.3115,35.3115,1
6,AFSACPSO,1,1725.5871,207.4189,4.0412,4.3263,170.6513,0.0000,0.0000,0.0000,0.0000,35.9645,35.9645,1
6,SACPSO-Global,1,1565.2500,203.1543,4.5037,4.3639,121.9237,0.0000,0.0000,0.0000,0.0000,36.7123,36.7123,1
6,SACPSO-5Subgroup,1,1764.6892,157.1729,2.3316,5.9110,203.9630,0.0000,0.0000,0.0000,0.0000,34.6623,34.6623,1
6,SACPSO-PerParticle,1,1693.8451,155.4053,2.3440,5.3431,198.5607,0.0000,0.0000,0.0000,0.0000,35.7074,35.7074,1
7,AFSACPSO,1,1474.8964,187.2738,2.0942,3.1925,180.5535,0.0000,0.0000,0.0000,0.0000,38.8151,38.8151,1
7,SACPSO-Global,1,1497.0354,213.4436,4.2112,3.6141,122.2971,0.0000,0.0000,0.0000,0.0000,36.4795,36.4795,1
7,SACPSO-5Subgroup,1,1648.1424,198.9258,3.5775,3.8661,174.0743,0.0000,0.0000,0.0002,0.0000,35.6883,35.6883,1
7,SACPSO-PerParticle,1,1770.4347,164.6506,2.5124,4.9452,218.6365,0.0000,0.0000,0.0000,0.0000,34.3243,34.3243,1
8,AFSACPSO,1,1583.8674,185.5338,4.7998,4.3960,127.0825,0.0000,0.0000,0.0000,0.0000,35.9298,35.9298,1
8,SACPSO-Global,1,1594.6347,208.1550,4.1425,4.1440,139.2915,0.0000,0.0000,0.0000,0.0000,38.0217,38.0217,1
8,SACPSO-5Subgroup,1,1770.9903,161.6610,2.5976,4.9773,217.5782,0.0000,0.0000,0.0000,0.0000,35.6462,35.6462,1
8,SACPSO-PerParticle,1,1771.5576,168.6273,2.6003,3.5669,244.1446,0.0000,0.0000,0.0000,0.0000,34.9423,34.9423,1
9,AFSACPSO,1,1779.6626,225.7525,3.6637,2.7203,217.8510,0.0000,0.0000,0.0000,0.0000,36.1259,36.1259,1
9,SACPSO-Global,1,1593.1541,193.8947,4.0416,4.6139,137.1776,0.0000,0.0000,0.0000,0.0000,35.5944,35.5944,1
9,SACPSO-5Subgroup,1,1468.4592,187.0637,2.2654,3.7748,163.3331,0.0000,0.0000,0.0000,0.0000,35.9088,35.9088,1
9,SACPSO-PerParticle,1,1646.2326,203.1381,3.0071,4.2521,175.6854,0.0000,0.0000,0.0000,0.0000,35.0648,35.0648,1
10,AFSACPSO,1,1573.2595,185.3518,2.3110,3.5765,193.4291,0.0000,0.0000,0.0000,0.0000,35.4637,35.4637,1
10,SACPSO-Global,1,1749.2090,232.0267,6.7774,3.7553,121.1946,0.0000,0.0000,0.0000,0.0000,37.2043,37.2043,1
10,SACPSO-5Subgroup,1,1522.5614,190.9007,2.1815,3.7227,178.0928,0.0000,0.0000,0.0000,0.0000,36.1980,36.1980,1
10,SACPSO-PerParticle,1,1676.1828,175.0293,3.2755,5.0527,172.6128,0.0000,0.0000,0.0000,0.0000,34.5847,34.5847,1
11,AFSACPSO,1,1445.9834,189.4735,2.0823,3.4869,166.5249,0.0000,0.0000,0.0000,0.0000,36.9998,36.9998,1
11,SACPSO-Global,1,1519.7718,181.5992,2.6240,3.9350,167.6294,0.0000,0.0000,0.0000,0.0000,36.8908,36.8908,1
11,SACPSO-5Subgroup,1,1780.5052,187.6968,3.0157,3.9295,222.2264,0.0000,0.0000,0.0000,0.0000,35.6287,35.6287,1
11,SACPSO-PerParticle,1,1555.2740,216.8218,4.2628,3.6981,132.6227,0.0000,0.0000,0.0000,0.0000,35.2521,35.2521,1
12,AFSACPSO,1,1444.5393,183.6367,2.6095,4.2150,142.4428,0.0000,0.0000,0.0000,0.0000,36.9510,36.9510,1
12,SACPSO-Global,1,1485.2301,193.6523,2.6811,4.0683,150.0060,0.0000,0.0000,0.0000,0.0000,37.4067,37.4067,1
12,SACPSO-5Subgroup,1,1573.4553,151.0270,1.8627,5.6674,173.5577,0.0000,0.0000,0.0000,0.0000,35.5494,35.5494,1
12,SACPSO-PerParticle,1,1645.0554,184.6016,2.1994,2.9762,226.5224,0.0000,0.0000,0.0000,0.0000,35.4388,35.4388,1
13,AFSACPSO,1,1611.1799,215.5187,4.2027,2.9302,164.3932,0.0000,0.0000,0.0000,0.0000,36.0158,36.0158,1
13,SACPSO-Global,1,1626.6353,198.1736,4.0965,3.9981,155.4507,0.0000,0.0000,0.0000,0.0000,35.8104,35.8104,1
13,SACPSO-5Subgroup,1,1706.6820,160.4877,2.1358,4.6776,217.8550,0.0000,0.0000,0.0025,0.0000,35.0276,35.0276,1
13,SACPSO-PerParticle,1,1318.9925,201.3871,2.4138,3.6812,118.8580,0.0000,0.0000,0.0000,0.0000,34.9478,34.9478,1
14,AFSACPSO,1,1542.1868,186.7351,3.7352,4.7600,130.7572,0.0000,0.0000,0.0000,0.0000,35.8094,35.8094,1
14,SACPSO-Global,1,1621.2584,219.8523,4.7847,3.9259,132.2379,0.0000,0.0000,0.0000,0.0000,36.4871,36.4871,1
14,SACPSO-5Subgroup,1,1909.2907,208.5392,3.4096,4.3380,229.0210,0.0000,0.0000,0.0000,0.0000,35.2584,35.2584,1
