Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RLAMPSO (Global),1,1630.2862,150.1269,1.5467,4.4835,219.3899,0.0000,0.0000,0.0000,0.0000,56.4892,56.4892,1
1,RLAMPSO (5 Subgroup),1,1649.4922,168.6866,3.0724,4.8411,177.2233,0.0000,0.0000,0.0000,0.0000,30.8828,30.8828,1
1,RLAMPSO (Per-Particle),1,1597.6989,148.2804,1.2307,3.6189,236.6062,0.0000,0.0000,0.0000,0.0000,23.0364,23.0364,1
1,DQN-PSO (Global),1,1870.7886,167.0460,3.4243,4.4709,233.6109,0.0000,0.0000,0.0000,0.0000,73.6500,73.6500,1
1,DQN-PSO (5-Subgroup),1,1825.9767,155.2353,1.3958,4.8764,261.1438,0.0000,0.0000,0.0000,0.0000,69.7092,69.7092,1
1,DQN-PSO (Per-Particle),1,2151.4543,176.1738,2.3495,5.5083,300.7531,0.0000,0.0000,0.0000,0.0000,68.6834,68.6834,1
1,RRSACPSO,1,1586.3848,149.9731,1.6990,4.9312,195.9788,0.0000,0.0000,0.0000,0.0000,46.2289,46.2289,1
2,RLAMPSO (Global),1,1548.0634,153.6854,1.7818,5.2251,177.0030,0.0000,0.0000,0.0000,0.0000,56.8479,56.8479,1
2,RLAMPSO (5 Subgroup),1,1994.8688,220.4835,3.7447,4.6300,232.3756,0.0000,0.0000,0.0000,0.0000,31.3621,31.3621,1
2,RLAMPSO (Per-Particle),1,1583.5830,153.7181,1.8560,4.3365,202.8379,0.0000,0.0000,0.0000,0.0000,22.3047,22.3047,1
2,DQN-PSO (Global),1,1995.2669,245.3701,5.1112,3.8262,210.3823,0.0000,0.0000,0.0000,0.0000,72.6057,72.6057,1
2,DQN-PSO (5-Subgroup),1,2011.4145,187.3110,3.8637,4.0007,260.9653,0.0000,0.0000,0.0000,0.0000,69.5838,69.5838,1
2,DQN-PSO (Per-Particle),1,2024.1796,183.2239,3.0395,4.4477,273.7189,0.0000,0.0000,0.0000,0.0000,68.8465,68.8465,1
2,RRSACPSO,1,1595.9849,148.6803,1.3586,4.0987,223.3534,0.0000,0.0000,0.0000,0.0000,32.0980,32.0980,1
3,RLAMPSO (Global),1,1616.5482,167.2900,3.0608,4.9818,166.8782,0.0000,0.0000,0.0000,0.0000,56.5443,56.5443,1
3,RLAMPSO (5 Subgroup),1,1573.9703,150.6672,1.9116,4.5798,195.4771,0.0000,0.0000,0.0000,0.0000,31.9773,31.9773,1
3,RLAMPSO (Per-Particle),1,1678.2287,153.2969,1.6359,4.6980,223.7272,0.0000,0.0000,0.0000,0.0000,22.0350,22.0350,1
3,DQN-PSO (Global),1,1711.1816,210.9484,4.1620,4.4378,160.7376,0.0000,0.0000,0.0000,0.0000,72.5361,72.5361,1
3,DQN-PSO (5-Subgroup),1,1765.9173,152.0067,1.4342,5.9132,225.0728,0.0000,0.0000,0.0000,0.0000,70.1750,70.1750,1
3,DQN-PSO (Per-Particle),1,1907.1453,162.7712,2.1302,5.1853,256.5587,0.0000,0.0000,0.0000,0.0000,69.0789,69.0789,1
3,RRSACPSO,1,1568.1315,182.1678,2.8581,3.7577,178.3002,0.0000,0.0000,0.0000,0.0000,36.9127,36.9127,1
4,RLAMPSO (Global),1,1720.2233,150.5725,1.2966,4.8579,239.0992,0.0000,0.0000,0.0000,0.0000,55.7724,55.7724,1
4,RLAMPSO (5 Subgroup),1,1565.9914,181.4907,2.8863,3.7045,178.5669,0.0000,0.0000,0.0000,0.0000,30.7808,30.7808,1
4,RLAMPSO (Per-Particle),1,1608.6411,153.6829,1.4368,3.9433,226.0389,0.0000,0.0000,0.0000,0.0000,23.0235,23.0235,1
4,DQN-PSO (Global),1,1726.0090,162.6411,2.8703,5.7680,183.7693,0.0000,0.0000,0.0000,0.0000,72.6670,72.6670,1
4,DQN-PSO (5-Subgroup),1,1794.8608,183.3266,3.2361,5.1278,198.0816,0.0000,0.0000,0.0000,0.0000,68.2364,68.2364,1
4,DQN-PSO (Per-Particle),1,1798.7102,154.1773,1.3727,5.9375,233.1403,0.0000,0.0000,0.0000,0.0000,69.4344,69.4344,1
4,RRSACPSO,1,1648.4080,151.5399,1.6703,5.3922,201.8260,0.0000,0.0000,0.0000,0.0000,27.1034,27.1034,1
5,RLAMPSO (Global),1,1662.8092,151.6339,1.2575,4.9277,223.6641,0.0000,0.0000,0.0000,0.0000,54.0056,54.0056,1
5,RLAMPSO (5 Subgroup),1,1610.3223,162.5010,2.6895,3.8470,198.6952,0.0000,0.0000,0.0000,0.0000,31.8959,31.8959,1
5,RLAMPSO (Per-Particle),1,1560.4719,151.2330,1.3775,4.4455,205.7915,0.0000,0.0000,0.0000,0.0000,22.6492,22.6492,1
5,DQN-PSO (Global),1,1709.6903,153.9211,1.8175,5.2175,216.7267,0.0000,0.0000,0.0000,0.0000,72.6621,72.6621,1
5,DQN-PSO (5-Subgroup),1,1818.5894,154.6625,1.4283,4.6103,264.4007,0.0000,0.0000,0.0000,0.0000,68.6980,68.6980,1
5,DQN-PSO (Per-Particle),1,2063.6324,195.0193,3.2538,4.3975,275.2480,0.0000,0.0000,0.0000,0.0000,69.0606,69.0606,1
5,RRSACPSO,1,1579.8953,171.1555,2.4414,4.8098,172.5940,0.0000,0.0000,0.0000,0.0000,28.3918,28.3918,1
6,RLAMPSO (Global),1,1604.4917,152.6990,1.5321,4.7290,207.0585,0.0000,0.0000,0.0000,0.0000,56.0759,56.0759,1
6,RLAMPSO (5 Subgroup),1,1631.3106,150.9217,1.7050,5.0777,203.6368,0.0000,0.0000,0.0000,0.0000,31.1252,31.1252,1
6,RLAMPSO (Per-Particle),1,1691.6929,154.9101,1.9541,5.1606,210.1551,0.0000,0.0000,0.0000,0.0000,22.5264,22.5264,1
6,DQN-PSO (Global),1,1822.1135,169.6743,2.4301,5.5592,218.3878,0.0000,0.0000,0.0000,0.0000,73.3096,73.3096,1
6,DQN-PSO (5-Subgroup),1,1725.0860,163.9390,1.9995,5.7585,201.3384,0.0000,0.0000,0.0000,0.0000,69.6208,69.6208,1
6,DQN-PSO (Per-Particle),1,2092.8326,212.3339,4.4214,4.9176,240.1730,0.0000,0.0000,0.0000,0.0000,69.0847,69.0847,1
6,RRSACPSO,1,1550.4156,147.0331,1.2315,4.5614,205.6548,0.0000,0.0000,0.0000,0.0000,25.7651,25.7651,1
7,RLAMPSO (Global),1,1638.0220,149.9263,1.2556,4.6632,223.7273,0.0000,0.0000,0.0000,0.0000,51.8615,51.8615,1
7,RLAMPSO (5 Subgroup),1,1666.2500,159.6532,2.1535,3.5670,230.8630,0.0000,0.0000,0.0000,0.0000,32.4656,32.4656,1
7,RLAMPSO (Per-Particle),1,1570.3925,148.6797,1.4322,3.5249,227.3752,0.0000,0.0000,0.0000,0.0000,23.1623,23.1623,1
7,DQN-PSO (Global),1,1580.8053,166.9944,1.6495,5.8815,168.7253,0.0000,0.0000,0.0000,0.0000,74.3705,74.3705,1
7,DQN-PSO (5-Subgroup),1,1779.6511,177.1900,3.0824,4.3629,215.9732,0.0000,0.0000,0.0000,0.0000,69.0877,69.0877,1
7,DQN-PSO (Per-Particle),1,1738.3125,176.2612,3.0660,4.1675,210.4379,0.0000,0.0000,0.0000,0.0000,69.3405,69.3405,1
7,RRSACPSO,1,1559.6971,152.2883,1.5490,3.4872,221.5508,0.0000,0.0000,0.0000,0.0000,26.4886,26.4886,1
8,RLAMPSO (Global),1,1770.9444,169.2969,2.5362,3.9949,236.1310,0.0000,0.0000,0.0000,0.0000,56.0168,56.0168,1
8,RLAMPSO (5 Subgroup),1,1587.5397,167.0192,2.2876,4.8875,177.8113,0.0000,0.0000,0.0000,0.0000,31.8283,31.8283,1
8,RLAMPSO (Per-Particle),1,1610.3054,146.2539,1.2876,5.5847,198.4628,0.0000,0.0000,0.0000,0.0000,23.5966,23.5966,1
8,DQN-PSO (Global),1,2390.9510,241.5980,6.0050,4.7105,273.8332,0.0000,0.0000,0.0000,0.0000,72.6636,72.6636,1
8,DQN-PSO (5-Subgroup),1,1993.4387,193.1834,3.8227,4.2742,249.1795,0.0000,0.0000,0.0000,0.0000,69.1145,69.1145,1
8,DQN-PSO (Per-Particle),1,2023.6747,194.7158,3.2165,3.8282,278.0230,0.0000,0.0000,0.0000,0.0000,69.1327,69.1327,1
8,RRSACPSO,1,1504.4164,193.2620,2.6363,4.0604,156.0647,0.0000,0.0000,0.0000,0.0000,31.8301,31.8301,1
9,RLAMPSO (Global),1,1634.8183,160.6590,2.1059,3.8415,217.8599,0.0000,0.0000,0.0000,0.0000,55.6167,55.6167,1
9,RLAMPSO (5 Subgroup),1,1668.4158,150.7027,1.7179,4.2939,229.0643,0.0000,0.0000,0.0000,0.0000,31.1196,31.1196,1
9,RLAMPSO (Per-Particle),1,1589.2355,160.4440,2.3353,4.0776,196.8560,0.0000,0.0000,0.0000,0.0000,22.8578,22.8578,1
9,DQN-PSO (Global),1,2348.8562,214.9849,6.5928,4.8860,258.4942,0.0000,0.0000,0.0000,0.0000,74.0847,74.0847,1
9,DQN-PSO (5-Subgroup),1,1722.2959,234.4746,4.7017,3.1780,168.7160,0.0000,0.0000,0.0000,0.0000,68.3750,68.3750,1
9,DQN-PSO (Per-Particle),1,1725.0804,185.3400,2.8142,4.2221,207.4556,0.0000,0.0000,0.0000,0.0000,69.8729,69.8729,1
9,RRSACPSO,1,1714.7618,174.5848,2.8919,5.4040,183.1157,0.0000,0.0000,0.0000,0.0000,25.5503,25.5503,1
10,RLAMPSO (Global),1,1748.7504,154.0232,1.8120,4.9537,232.0586,0.0000,0.0000,0.0000,0.0000,56.3948,56.3948,1
10,RLAMPSO (5 Subgroup),1,1611.2620,151.2810,1.9887,4.2680,209.4340,0.0000,0.0000,0.0000,0.0000,31.6939,31.6939,1
10,RLAMPSO (Per-Particle),1,1682.8234,161.8411,1.5483,3.3870,250.4533,0.0000,0.0000,0.0000,0.0000,21.5339,21.5339,1
10,DQN-PSO (Global),1,2101.4521,190.2664,3.1118,5.0214,276.6427,0.0000,0.0000,0.0000,0.0000,72.3309,72.3309,1
10,DQN-PSO (5-Subgroup),1,1872.0833,165.2325,2.2165,5.3146,242.2765,0.0000,0.0000,0.0000,0.0000,68.7539,68.7539,1
10,DQN-PSO (Per-Particle),1,1835.1828,173.8913,3.6887,4.6387,212.8533,0.0000,0.0000,0.0000,0.0000,69.2411,69.2411,1
10,RRSACPSO,1,1529.8635,153.6977,2.0054,5.1064,170.2617,0.0000,0.0000,0.0000,0.0000,33.3888,33.3888,1
11,RLAMPSO (Global),1,1584.9255,148.8730,1.5342,4.0010,218.8839,0.0000,0.0000,0.0000,0.0000,58.1364,58.1364,1
11,RLAMPSO (5 Subgroup),1,1584.9052,157.7706,2.6158,4.8534,174.8804,0.0000,0.0000,0.0000,0.0000,30.3323,30.3323,1
11,RLAMPSO (Per-Particle),1,1624.6051,168.6014,2.6341,5.0841,175.1049,0.0000,0.0000,0.0000,0.0000,22.3569,22.3569,1
11,DQN-PSO (Global),1,1676.4035,169.8238,3.0036,4.1810,198.6611,0.0000,0.0000,0.0000,0.0000,71.2782,71.2782,1
11,DQN-PSO (5-Subgroup),1,1607.7056,149.1054,1.5338,4.6465,211.0434,0.0000,0.0000,0.0000,0.0000,69.6315,69.6315,1
11,DQN-PSO (Per-Particle),1,1553.1566,153.1019,1.7248,3.2247,221.3814,0.0000,0.0000,0.0000,0.0000,69.6170,69.6170,1
11,RRSACPSO,1,1658.8330,148.2479,1.2787,4.3575,235.5181,0.0000,0.0000,0.0000,0.0000,27.8223,27.8223,1
12,RLAMPSO (Global),1,1574.1652,153.1684,2.4358,5.1182,172.3465,0.0000,0.0000,0.0000,0.0000,56.0128,56.0128,1
12,RLAMPSO (5 Subgroup),1,1547.5654,152.1695,1.9737,3.4205,211.1076,0.0000,0.0000,0.0000,0.0000,30.8017,30.8017,1
12,RLAMPSO (Per-Particle),1,1545.3489,151.9117,1.5229,3.7631,212.9139,0.0000,0.0000,0.0000,0.0000,22.2431,22.2431,1
12,DQN-PSO (Global),1,1588.2992,152.0280,1.6469,4.9567,196.1558,0.0000,0.0000,0.0000,0.0000,73.9644,73.9644,1
12,DQN-PSO (5-Subgroup),1,1801.0459,160.1004,1.9306,4.6301,246.8721,0.0000,0.0000,0.0000,0.0000,67.7622,67.7622,1
12,DQN-PSO (Per-Particle),1,2030.6302,228.8608,4.2010,5.2072,216.2935,0.0000,0.0000,0.0000,0.0000,68.6739,68.6739,1
12,RRSACPSO,1,1590.3308,197.2905,4.0022,4.4859,138.5415,0.0000,0.0000,0.0000,0.0000,32.7373,32.7373,1
13,RLAMPSO (Global),1,1763.3153,172.6341,2.8058,3.3977,239.6574,0.0000,0.0000,0.0000,0.0000,55.6953,55.6953,1
13,RLAMPSO (5 Subgroup),1,1666.8628,152.1713,1.4151,4.0475,239.5065,0.0000,0.0000,0.0000,0.0000,31.2145,31.2145,1
13,RLAMPSO (Per-Particle),1,1678.3489,177.1481,3.0025,3.3667,213.0832,0.0000,0.0000,0.0000,0.0000,23.2201,23.2201,1
13,DQN-PSO (Global),1,1847.1252,181.7614,3.3021,4.9220,214.7125,0.0000,0.0000,0.0000,0.0000,71.0156,71.0156,1
13,DQN-PSO (5-Subgroup),1,1694.1247,170.7871,3.0381,4.7815,189.4614,0.0000,0.0000,0.0000,0.0000,68.0363,68.0363,1
13,DQN-PSO (Per-Particle),1,1954.8155,171.7360,2.0552,5.1004,268.0719,0.0000,0.0000,0.0000,0.0000,67.1207,67.1207,1
13,RRSACPSO,1,1592.8450,149.6551,1.5549,5.0504,198.2461,0.0000,0.0000,0.0000,0.0000,27.6504,27.6504,1
14,RLAMPSO (Global),1,1838.4953,160.3143,2.0101,5.0134,246.5021,0.0000,0.0000,0.0000,0.0000,56.4847,56.4847,1
14,RLAMPSO (5 Subgroup),1,1674.1868,159.8494,2.6169,3.8029,218.1979,0.0000,0.0000,0.0000,0.0000,30.5943,30.5943,1
14,RLAMPSO (Per-Particle),1,1672.3674,165.0981,2.3944,3.2805,231.0732,0.0000,0.0000,0.0000,0.0000,22.2755,22.2755,1
14,DQN-PSO (Global),1,1798.6612,161.7724,2.4734,6.0988,203.6736,0.0000,0.0000,0.0000,0.0000,72.7868,72.7868,1
14,DQN-PSO (5-Subgroup),1,1635.6375,152.8038,1.6749,4.0591,225.7818,0.0000,0.0000,0.0000,0.0000,69.7927,69.7927,1
14,DQN-PSO (Per-Particle),1,1815.1964,184.6175,3.1052,3.9093,230.7388,0.0000,0.0000,0.0000,0.0000,69.4992,69.4992,1
14,RRSACPSO,1,1662.7508,149.5311,1.2273,4.6040,231.8974,0.0000,0.0000,0.0000,0.0000,26.3502,26.3502,1
15,RLAMPSO (Global),1,1685.9938,168.2195,2.8670,3.8306,211.8724,0.0000,0.0000,0.0000,0.0000,25.3547,25.3547,1
15,RLAMPSO (5 Subgroup),1,1751.6785,216.5825,4.3702,4.4884,163.1226,0.0000,0.0000,0.0000,0.0000,21.3349,21.3349,1
15,RLAMPSO (Per-Particle),1,1756.5017,178.7780,2.9787,3.1994,235.9252,0.0000,0.0000,0.0000,0.0000,20.4863,20.4863,1
15,DQN-PSO (Global),1,2108.3000,188.4057,5.0278,4.4859,250.3705,0.0000,0.0000,0.0000,0.0000,67.3798,67.3798,1
15,DQN-PSO (5-Subgroup),1,1701.0045,152.0778,1.2368,5.2315,227.1289,0.0000,0.0000,0.0000,0.0000,67.4282,67.4282,1
15,DQN-PSO (Per-Particle),1,2100.3885,249.9896,6.2836,3.5904,215.2274,0.0000,0.0000,0.0000,0.0000,67.2160,67.2160,1
15,RRSACPSO,1,1522.3211,150.9368,1.4103,5.4676,174.3997,0.0000,0.0000,0.0000,0.0000,27.5375,27.5375,1
16,RLAMPSO (Global),1,1653.0690,151.8721,1.3447,5.0492,216.7804,0.0000,0.0000,0.0000,0.0000,25.3112,25.3112,1
16,RLAMPSO (5 Subgroup),1,1811.7524,201.7990,3.3401,4.1613,212.5755,0.0000,0.0000,0.0000,0.0000,21.6061,21.6061,1
16,RLAMPSO (Per-Particle),1,1753.9938,194.0912,3.5927,4.0841,197.6929,0.0000,0.0000,0.0000,0.0000,20.8670,20.8670,1
16,DQN-PSO (Global),1,1586.1102,147.6547,1.3679,4.5800,211.0908,0.0000,0.0000,0.0000,0.0000,67.4263,67.4263,1
16,DQN-PSO (5-Subgroup),1,2491.9553,231.1489,5.4374,5.2991,303.0006,0.0000,0.0000,0.0000,0.0000,68.2426,68.2426,1
16,DQN-PSO (Per-Particle),1,1894.8828,161.2014,1.9153,5.9690,242.2976,0.0000,0.0000,0.0000,0.0000,66.7714,66.7714,1
16,RRSACPSO,1,1631.7439,148.1527,1.2171,4.6691,223.5770,0.0000,0.0000,0.0000,0.0000,27.8638,27.8638,1
17,RLAMPSO (Global),1,1637.9446,152.9160,1.3850,3.6062,241.7883,0.0000,0.0000,0.0000,0.0000,25.9814,25.9814,1
17,RLAMPSO (5 Subgroup),1,1730.2427,158.4925,1.4005,3.5486,263.4155,0.0000,0.0000,0.0000,0.0000,21.0377,21.0377,1
17,RLAMPSO (Per-Particle),1,1764.8454,163.1457,2.6783,4.2676,228.5273,0.0000,0.0000,0.0000,0.0000,21.3817,21.3817,1
17,DQN-PSO (Global),1,1629.2471,149.3766,1.7799,5.8495,186.1257,0.0000,0.0000,0.0000,0.0000,67.1093,67.1093,1
17,DQN-PSO (5-Subgroup),1,2414.2759,220.4280,6.0358,5.5170,271.0404,0.0000,0.0000,0.0000,0.0000,68.4153,68.4153,1
17,DQN-PSO (Per-Particle),1,2050.8167,177.8426,2.6513,6.7571,242.5942,0.0000,0.0000,0.0000,0.0000,66.7111,66.7111,1
17,RRSACPSO,1,1548.2138,147.4211,1.5572,5.4757,179.1093,0.0000,0.0000,0.0000,0.0000,24.9647,24.9647,1
18,RLAMPSO (Global),1,1719.8039,154.3062,1.6278,4.3859,240.3716,0.0000,0.0000,0.0000,0.0000,25.6050,25.6050,1
18,RLAMPSO (5 Subgroup),1,1587.9714,148.4264,1.4788,4.6438,207.5926,0.0000,0.0000,0.0000,0.0000,21.5025,21.5025,1
18,RLAMPSO (Per-Particle),1,1868.8323,194.4685,3.2442,3.9680,235.9265,0.0000,0.0000,0.0000,0.0000,20.7804,20.7804,1
18,DQN-PSO (Global),1,1712.0333,178.4341,3.1204,4.3192,198.6685,0.0000,0.0000,0.0000,0.0000,68.1880,68.1880,1
18,DQN-PSO (5-Subgroup),1,2376.2894,215.5798,5.1802,5.0541,291.0332,0.0000,0.0000,0.0000,0.0000,67.8836,67.8836,1
18,DQN-PSO (Per-Particle),1,2192.7666,227.9164,6.7482,3.4877,239.9778,0.0000,0.0000,0.0000,0.0000,66.4132,66.4132,1
18,RRSACPSO,1,1530.2226,165.5693,2.5122,4.4467,168.5913,0.0000,0.0000,0.0000,0.0000,28.1052,28.1052,1
19,RLAMPSO (Global),1,1648.3072,159.5631,2.6074,3.9164,209.6806,0.0000,0.0000,0.0000,0.0000,24.9404,24.9404,1
19,RLAMPSO (5 Subgroup),1,1760.8931,168.7015,2.6335,4.2441,226.6470,0.0000,0.0000,0.0000,0.0000,21.0767,21.0767,1
19,RLAMPSO (Per-Particle),1,1638.7917,152.4482,1.5832,3.8540,232.9026,0.0000,0.0000,0.0000,0.0000,20.2380,20.2380,1
19,DQN-PSO (Global),1,1570.9752,151.0393,1.6666,4.3561,204.3363,0.0000,0.0000,0.0000,0.0000,68.0605,68.0605,1
19,DQN-PSO (5-Subgroup),1,2199.3484,188.5898,4.3876,5.4457,266.3962,0.0000,0.0000,0.0000,0.0000,67.1748,67.1748,1
19,DQN-PSO (Per-Particle),1,1658.9537,174.6717,3.1396,4.5786,181.1625,0.0000,0.0000,0.0000,0.0000,67.4688,67.4688,1
19,RRSACPSO,1,1654.4764,169.3230,3.2877,4.4909,181.0146,0.0000,0.0000,0.0000,0.0000,24.0768,24.0768,1
20,RLAMPSO (Global),1,1651.7171,154.8797,1.7577,4.5159,217.6958,0.0000,0.0000,0.0000,0.0000,25.8177,25.8177,1
20,RLAMPSO (5 Subgroup),1,1577.7360,149.8285,1.3201,5.3823,192.3703,0.0000,0.0000,0.0000,0.0000,20.5055,20.5055,1
20,RLAMPSO (Per-Particle),1,1802.8347,154.0906,1.6262,5.4853,238.3470,0.0000,0.0000,0.0000,0.0000,20.2791,20.2791,1
20,DQN-PSO (Global),1,1870.0987,224.5830,4.3485,3.1507,217.7150,0.0000,0.0000,0.0000,0.0000,68.1279,68.1279,1
20,DQN-PSO (5-Subgroup),1,2350.7877,242.7598,5.2007,5.4575,264.5009,0.0000,0.0000,0.0000,0.0000,69.2953,69.2953,1
20,DQN-PSO (Per-Particle),1,1709.9477,165.5408,2.8380,5.1315,192.4793,0.0000,0.0000,0.0000,0.0000,66.0970,66.0970,1
20,RRSACPSO,1,1584.4601,162.9551,2.8370,4.6178,172.9089,0.0000,0.0000,0.0000,0.0000,34.2945,34.2945,1
21,RLAMPSO (Global),1,1645.0857,155.7811,2.4483,5.2895,185.1598,0.0000,0.0000,0.0000,0.0000,25.4463,25.4463,1
21,RLAMPSO (5 Subgroup),1,1556.6030,149.9294,1.6003,4.6671,196.1106,0.0000,0.0000,0.0000,0.0000,21.0004,21.0004,1
21,RLAMPSO (Per-Particle),1,1662.1560,174.2719,2.5027,4.4362,198.3649,0.0000,0.0000,0.0000,0.0000,18.0673,18.0673,1
21,DQN-PSO (Global),1,2004.3998,200.6389,4.4083,4.0569,241.1419,0.0000,0.0000,0.0000,0.0000,68.6720,68.6720,1
21,DQN-PSO (5-Subgroup),1,1527.3908,149.5917,1.7119,4.3667,192.8806,0.0000,0.0000,0.0000,0.0000,67.8053,67.8053,1
21,DQN-PSO (Per-Particle),1,2223.1929,209.4079,4.8041,4.1352,282.3082,0.0000,0.0000,0.0000,0.0000,67.9165,67.9165,1
21,RRSACPSO,1,1609.3449,156.1963,2.0395,5.1945,186.5472,0.0000,0.0000,0.0000,0.0000,98.5757,98.5757,1
22,RLAMPSO (Global),1,1540.9681,166.8802,2.1677,4.6813,173.0213,0.0000,0.0000,0.0000,0.0000,25.7854,25.7854,1
22,RLAMPSO (5 Subgroup),1,1646.4474,171.5318,3.2265,4.5401,178.3347,0.0000,0.0000,0.0000,0.0000,20.9974,20.9974,1
22,RLAMPSO (Per-Particle),1,1600.9369,153.4781,1.4741,4.3360,215.2403,0.0000,0.0000,0.0000,0.0000,20.5079,20.5079,1
22,DQN-PSO (Global),1,1784.6414,216.2267,3.9934,4.8844,171.1116,0.0000,0.0000,0.0000,0.0000,67.4203,67.4203,1
22,DQN-PSO (5-Subgroup),1,2045.2315,171.1682,2.0208,5.4902,283.5086,0.0000,0.0000,0.0000,0.0000,67.0198,67.0198,1
22,DQN-PSO (Per-Particle),1,1751.2962,195.5174,3.8009,4.1802,190.0843,0.0000,0.0000,0.0000,0.0000,68.3728,68.3728,1
22,RRSACPSO,1,1621.9854,158.2046,2.1148,5.1244,188.7615,0.0000,0.0000,0.0000,0.0000,69.3488,69.3488,1
23,RLAMPSO (Global),1,1670.7212,160.0434,2.5227,5.1071,192.0401,0.0000,0.0000,0.0000,0.0000,24.9425,24.9425,1
23,RLAMPSO (5 Subgroup),1,1621.9928,149.6833,1.5586,4.4251,218.4692,0.0000,0.0000,0.0000,0.0000,21.1818,21.1818,1
23,RLAMPSO (Per-Particle),1,1571.7380,156.0748,1.7416,4.6229,195.3106,0.0000,0.0000,0.0000,0.0000,20.6099,20.6099,1
23,DQN-PSO (Global),1,1737.9069,249.2900,4.7961,2.9250,169.7490,0.0000,0.0000,0.0000,0.0000,67.8438,67.8438,1
23,DQN-PSO (5-Subgroup),1,1806.8683,155.4379,1.8755,4.7222,249.5006,0.0000,0.0000,0.0000,0.0000,67.4519,67.4519,1
