Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,12351.6436,309.5610,1.8689,1.1136,121.3968,0.0000,11101.5853,0.0000,0.0000,414.5922,414.5922,1
1,PSO-Standard,1,12586.2340,294.2297,1.0061,2.6754,171.8684,0.0000,11101.5853,0.0000,0.0000,532.2650,532.2650,1
1,PSO-LDIW,1,12560.5723,290.9035,0.8827,1.6155,191.4917,0.0000,11101.5853,0.0000,0.0000,412.9690,412.9690,1
1,FIPS,1,12823.4417,297.6741,1.7725,3.8952,188.3558,0.0000,11101.5853,0.0000,0.0000,544.8719,544.8719,1
1,CLPSO,1,12956.0147,327.8028,2.7021,2.7837,212.7362,0.0000,11101.5853,0.0000,0.0000,764.4182,764.4182,1
1,SAEPSO [11],1,12107.9364,366.1937,1.3923,0.0000,70.0000,0.0000,11101.5853,0.0000,0.0000,187.1000,187.1000,1
1,SAEPSO* [11],1,12356.5998,308.5692,1.9325,1.5251,113.1484,0.0000,11101.5853,0.0000,0.0000,77.5842,77.5842,1
1,UAPSO [25],1,12819.0523,361.0061,1.6608,2.6400,189.3482,0.0000,11101.5853,0.0000,0.0000,1280.3717,1280.3717,1
2,AFSACPSO,1,12564.5683,295.5663,1.0646,2.5560,167.1632,0.0000,11101.5853,0.0000,0.0000,413.1820,413.1820,1
2,PSO-Standard,1,12241.2708,290.3386,1.2099,0.8089,121.8873,0.0000,11101.5853,0.0000,0.0000,468.9505,468.9505,1
2,PSO-LDIW,1,12596.2563,290.0149,0.5907,1.7001,205.1033,0.0000,11101.5853,0.0000,0.0000,821.6785,821.6785,1
2,FIPS,1,12575.0413,306.8518,3.1473,2.0873,131.4549,0.0000,11101.5853,0.0000,0.0000,585.4722,585.4722,1
2,CLPSO,1,12898.1875,331.1250,2.7068,3.3043,185.9499,0.0000,11101.5853,0.0000,0.0000,755.6274,755.6274,1
2,SAEPSO [11],1,12107.9450,366.1977,1.3924,0.0000,70.0000,0.0000,11101.5853,0.0000,0.0000,185.0914,185.0914,1
2,SAEPSO* [11],1,12174.7327,296.2086,0.9972,1.1491,100.1520,0.0000,11101.5853,0.0000,0.0000,72.2706,72.2706,1
2,UAPSO [25],1,12934.7249,332.4455,2.3185,3.7433,193.4772,0.0000,11101.5853,0.0000,0.0000,1121.4779,1121.4779,1
3,AFSACPSO,1,12305.4162,296.4430,1.2249,1.4254,122.2247,0.0000,11101.5853,0.0000,0.0000,413.0347,413.0347,1
3,PSO-Standard,1,12196.5924,296.5200,1.5223,0.7630,102.5917,0.0000,11101.5853,0.0000,0.0000,524.8010,524.8010,1
3,PSO-LDIW,1,12293.7874,297.5068,1.0644,1.1021,128.9549,0.0000,11101.5853,0.0000,0.0000,663.5924,663.5924,1
3,FIPS,1,12553.0035,312.1146,2.6178,3.0544,114.6365,0.0000,11101.5853,0.0000,0.0000,477.1249,477.1249,1
3,CLPSO,1,13054.4880,333.7571,3.3712,4.2456,190.4762,0.0000,11101.5853,0.0000,0.0000,795.2605,795.2605,1
3,SAEPSO [11],1,12104.7379,364.2862,1.3921,0.0000,70.0000,0.0000,11101.5853,0.0000,0.0000,182.3830,182.3830,1
3,SAEPSO* [11],1,12344.9429,309.1619,1.9504,1.2056,116.2717,0.0000,11101.5853,0.0000,0.0000,73.9734,73.9734,1
3,UAPSO [25],1,12929.7067,384.6920,3.4900,2.5747,170.3947,0.0000,11101.5853,0.0000,0.0000,1098.8902,1098.8902,1
4,AFSACPSO,1,12317.1726,294.0410,0.7432,1.3435,137.9064,0.0000,11101.5853,0.0000,0.0000,415.6570,415.6570,1
4,PSO-Standard,1,12249.0245,300.6180,2.0905,0.8730,99.8629,0.0000,11101.5853,0.0000,0.0000,308.0811,308.0811,1
