Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RLAMPSO [36],1,1566.4025,153.3182,1.6517,4.9376,190.4421,0.0000,0.0000,0.0000,0.0000,52.9326,52.9326,1
1,DQN-PSO [34],1,1821.1160,167.5360,2.4997,4.7425,234.5937,0.0000,0.0000,0.0000,0.0000,114.6271,114.6271,1
1,SAC-SAPSO [40],1,1744.5020,169.6996,3.0122,3.9557,220.2538,0.0000,0.0000,0.0000,0.0000,37.2164,37.2164,1
1,PPO-PSO,1,1505.1627,178.2280,2.6104,4.0327,163.6311,0.0000,0.0000,0.0000,0.0000,61.8477,61.8477,1
1,MPSORL,1,1662.1595,250.1029,4.4998,2.8570,158.0640,0.0000,0.0000,0.0000,0.0000,33.6550,33.6550,1
1,AFSACPSO,1,1602.6737,155.2564,2.1071,4.6297,195.6292,0.0000,0.0000,0.0000,0.0000,83.6213,83.6213,1
2,RLAMPSO [36],1,1809.1069,171.1735,2.9093,4.4041,228.5915,0.0000,0.0000,0.0000,0.0000,35.1332,35.1332,1
2,DQN-PSO [34],1,1793.3535,158.4626,1.3164,4.8553,253.7363,0.0000,0.0000,0.0000,0.0000,113.3605,113.3605,1
2,SAC-SAPSO [40],1,1668.3820,154.1307,2.0040,6.6776,172.0069,0.0000,0.0000,0.0000,0.0000,36.1343,36.1343,1
2,PPO-PSO,1,1474.0382,179.2045,2.4885,3.9849,158.9783,0.0000,0.0000,0.0000,0.0000,60.9470,60.9470,1
2,MPSORL,1,1554.6611,160.7119,1.8292,5.5501,167.9660,0.0000,0.0000,0.0000,0.0000,34.5283,34.5283,1
2,AFSACPSO,1,1679.1427,168.0457,3.2308,3.9083,201.0356,0.0000,0.0000,0.0000,0.0000,83.1636,83.1636,1
3,RLAMPSO [36],1,1706.9609,157.0745,2.6743,4.7514,206.5892,0.0000,0.0000,0.0000,0.0000,52.2623,52.2623,1
3,DQN-PSO [34],1,1693.3021,177.1566,2.8677,4.6764,192.3413,0.0000,0.0000,0.0000,0.0000,116.3224,116.3224,1
3,SAC-SAPSO [40],1,1865.6542,176.9297,3.3200,4.7973,223.5822,0.0000,0.0000,0.0000,0.0000,37.6956,37.6956,1
3,PPO-PSO,1,1588.2399,199.6708,4.2191,4.2361,137.7147,0.0000,0.0000,0.0000,0.0000,60.6935,60.6935,1
3,MPSORL,1,1591.7624,178.7470,3.5791,4.5648,153.7996,0.0000,0.0000,0.0000,0.0000,33.7286,33.7286,1
3,AFSACPSO,1,1552.9443,162.1454,1.8958,4.6318,184.6843,0.0000,0.0000,0.0000,0.0000,81.7775,81.7775,1
4,RLAMPSO [36],1,1685.4714,158.1217,2.4132,4.1378,219.0034,0.0000,0.0000,0.0000,0.0000,52.3001,52.3001,1
4,DQN-PSO [34],1,1608.6021,173.6189,2.9212,4.5570,174.0121,0.0000,0.0000,0.0000,0.0000,111.0255,111.0255,1
4,SAC-SAPSO [40],1,1608.7744,153.4089,1.5897,3.9545,222.7685,0.0000,0.0000,0.0000,0.0000,37.0584,37.0584,1
4,PPO-PSO,1,1602.3144,182.4732,3.9477,4.9317,139.5613,0.0000,0.0000,0.0000,0.0000,61.3135,61.3135,1
4,MPSORL,1,1623.6297,183.5949,3.7270,4.1577,165.1447,0.0000,0.0000,0.0000,0.0000,33.7193,33.7193,1
4,AFSACPSO,1,1648.2653,181.2004,3.1906,3.7838,191.2670,0.0000,0.0000,0.0000,0.0000,82.8501,82.8501,1
5,RLAMPSO [36],1,1771.3732,170.4068,2.7813,3.7423,235.9314,0.0000,0.0000,0.0000,0.0000,52.4891,52.4891,1
5,DQN-PSO [34],1,1764.7022,174.5111,2.5412,3.9953,232.2847,0.0000,0.0000,0.0000,0.0000,111.9569,111.9569,1
5,SAC-SAPSO [40],1,1757.0510,165.9786,2.4194,4.9387,216.8098,0.0000,0.0000,0.0000,0.0000,37.9938,37.9938,1
5,PPO-PSO,1,1472.8184,188.4578,2.4642,4.1519,151.8450,0.0000,0.0000,0.0000,0.0000,61.0033,61.0033,1
5,MPSORL,1,1618.5944,169.5799,3.3059,4.1911,177.8026,0.0000,0.0000,0.0000,0.0000,33.3527,33.3527,1
5,AFSACPSO,1,1572.2490,152.1040,1.6131,5.0879,190.0817,0.0000,0.0000,0.0000,0.0000,83.4983,83.4983,1
6,RLAMPSO [36],1,1611.2587,173.1580,2.9261,4.1270,183.7275,0.0000,0.0000,0.0000,0.0000,52.6546,52.6546,1
6,DQN-PSO [34],1,1676.3138,148.7139,1.3557,6.1251,201.2659,0.0000,0.0000,0.0000,0.0000,111.9787,111.9787,1
6,SAC-SAPSO [40],1,1670.6736,188.2983,3.0259,4.6629,179.0277,0.0000,0.0000,0.0000,0.0000,37.2559,37.2559,1
6,PPO-PSO,1,1505.9845,179.7892,2.6003,3.9161,165.8249,0.0000,0.0000,0.0000,0.0000,61.3704,61.3704,1
6,MPSORL,1,1502.0987,161.7555,2.1085,4.7027,166.2272,0.0000,0.0000,0.0000,0.0000,33.3146,33.3146,1
6,AFSACPSO,1,1672.9014,174.7844,2.9725,4.1288,197.4562,0.0000,0.0000,0.0000,0.0000,83.2800,83.2800,1
7,RLAMPSO [36],1,1692.0421,156.0755,1.4702,3.8958,246.1878,0.0000,0.0000,0.0000,0.0000,28.4446,28.4446,1
