Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RRSACPSO,1,1554.1517,147.4789,1.2072,5.7465,182.2187,0.0000,0.0000,0.0000,0.0000,168.8351,168.8351,1
1,PSO-Standard,1,1643.4505,225.4195,3.6158,3.1138,176.7367,0.0000,0.0000,0.0000,0.0000,21.3341,21.3341,1
1,PSO-LDIW,1,1653.7735,157.0360,1.7651,4.0570,226.7176,0.0000,0.0000,0.0000,0.0000,21.6051,21.6051,1
1,FIPS,1,1885.5787,192.1431,4.0016,5.9978,183.0139,0.0000,0.0000,0.0000,0.0000,22.5101,22.5101,1
1,CLPSO,1,1986.2506,194.3537,3.5944,5.7004,221.9421,0.0000,0.0000,0.0000,0.0000,22.6240,22.6240,1
1,SAEPSO [11],1,1446.1450,189.4947,2.2393,4.2776,146.8108,0.0000,0.0000,0.0000,0.0000,53.2282,53.2282,1
1,SAEPSO* [11],1,1449.8733,187.5134,2.5648,4.1680,144.0701,0.0000,0.0000,0.0000,0.0000,20.1913,20.1913,1
1,UAPSO [25],1,1673.4085,155.7216,2.2754,7.1608,156.8800,0.0000,0.0000,0.0000,0.0000,162.4360,162.4360,1
2,RRSACPSO,1,1629.5038,149.3330,1.2409,4.5770,223.9481,0.0000,0.0000,0.0000,0.0000,162.6536,162.6536,1
2,PSO-Standard,1,1636.9008,189.0165,3.7167,4.1982,165.5744,0.0000,0.0000,0.0000,0.0000,21.9309,21.9309,1
2,PSO-LDIW,1,1583.4547,146.4606,1.2628,4.6059,212.5748,0.0000,0.0000,0.0000,0.0000,21.5290,21.5290,1
2,FIPS,1,1769.4218,215.5846,4.6130,5.2727,146.5758,0.0000,0.0000,0.0000,0.0000,23.0561,23.0561,1
2,CLPSO,1,1774.4455,199.3635,3.1327,3.8875,214.2890,0.0000,0.0000,0.0000,0.0000,21.8972,21.8972,1
2,SAEPSO [11],1,1508.5178,186.9356,2.1554,4.1611,167.6459,0.0000,0.0000,0.0000,0.0000,54.1603,54.1603,1
2,SAEPSO* [11],1,1769.2442,185.8370,3.6043,4.9582,186.4946,0.0000,0.0000,0.0000,0.0000,19.7323,19.7323,1
2,UAPSO [25],1,1439.0584,189.8230,2.2911,3.7659,154.4835,0.0000,0.0000,0.0000,0.0000,164.0897,164.0897,1
3,RRSACPSO,1,1614.2010,146.9325,1.5933,5.2638,199.4733,0.0000,0.0000,0.0000,0.0000,166.1058,166.1058,1
3,PSO-Standard,1,1812.3991,203.6331,3.6433,3.6766,215.7561,0.0000,0.0000,0.0000,0.0000,21.0916,21.0916,1
3,PSO-LDIW,1,1622.9966,166.0939,2.8550,3.7419,199.1086,0.0000,0.0000,0.0000,0.0000,21.0657,21.0657,1
3,FIPS,1,1822.4377,207.2378,4.3522,5.3581,166.9620,0.0000,0.0000,0.0000,0.0000,22.6717,22.6717,1
3,CLPSO,1,1825.4634,185.6293,3.1645,5.6140,196.1349,0.0000,0.0000,0.0000,0.0000,22.8926,22.8926,1
