Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,AFSACPSO,1,1576.6302,191.3081,4.0806,4.1989,141.9566,0.0000,0.0000,0.0000,0.0000,136.3922,136.3922,1
1,PSO-Standard,1,1629.9083,166.9047,2.8686,5.5841,161.8363,0.0000,0.0000,0.0000,0.0000,33.4324,33.4324,1
1,PSO-LDIW,1,1617.7533,149.6414,1.5446,4.4470,217.2636,0.0000,0.0000,0.0000,0.0000,32.3721,32.3721,1
1,FIPS,1,1729.0775,212.5538,4.2334,4.7997,155.5158,0.0000,0.0000,0.0000,0.0000,32.1157,32.1157,1
1,CLPSO,1,1877.9767,179.6719,2.9855,5.8319,210.9352,0.0000,0.0000,0.0000,0.0000,31.7082,31.7082,1
1,SAEPSO [11],1,1500.3794,190.9478,2.1736,4.0022,166.8710,0.0000,0.0000,0.0000,0.0000,85.1996,85.1996,1
1,SAEPSO* [11],1,1572.2406,158.3671,2.6520,4.7757,172.3314,0.0000,0.0000,0.0000,0.0000,32.4950,32.4950,1
1,UAPSO [25],1,1570.2071,156.9896,1.8744,4.6529,191.1545,0.0000,0.0000,0.0000,0.0000,267.6836,267.6836,1
2,AFSACPSO,1,1664.6473,164.6088,2.3989,3.8360,217.6799,0.0000,0.0000,0.0000,0.0000,136.0569,136.0569,1
2,PSO-Standard,1,1554.2433,150.1951,1.3518,5.1347,190.8429,0.0000,0.0000,0.0000,0.0000,33.0957,33.0957,1
2,PSO-LDIW,1,1507.8524,155.4135,2.1557,4.5068,173.4055,0.0000,0.0000,0.0000,0.0000,31.5590,31.5590,1
2,FIPS,1,1747.5485,198.0865,4.2418,5.3331,154.8725,0.0000,0.0000,0.0000,0.0000,32.5484,32.5484,1
2,CLPSO,1,2045.0420,206.5248,4.1980,5.7323,218.3261,0.0000,0.0000,0.0000,0.0000,31.1755,31.1755,1
2,SAEPSO [11],1,1521.1592,195.0974,2.1735,4.3575,162.9364,0.0000,0.0000,0.0000,0.0000,84.9242,84.9242,1
2,SAEPSO* [11],1,1590.6971,184.7465,3.7436,3.9335,160.7573,0.0000,0.0000,0.0000,0.0000,32.7880,32.7880,1
2,UAPSO [25],1,1711.3968,154.0597,1.2871,5.7363,217.3386,0.0000,0.0000,0.0000,0.0000,272.3014,272.3014,1
3,AFSACPSO,1,1572.0094,149.0011,1.5405,4.6635,201.6690,0.0000,0.0000,0.0000,0.0000,134.5680,134.5680,1
3,PSO-Standard,1,1441.8224,191.0969,2.3832,3.9392,149.1142,0.0000,0.0000,0.0000,0.0000,33.3553,33.3553,1
3,PSO-LDIW,1,1546.4423,147.9818,1.3133,4.5320,203.1744,0.0000,0.0000,0.0000,0.0000,31.7914,31.7914,1
3,FIPS,1,1775.5310,167.1836,3.2877,6.9526,160.8841,0.0000,0.0000,0.0000,0.0000,32.1161,32.1161,1
3,CLPSO,1,1995.6389,205.2762,3.9985,5.6901,211.5320,0.0000,0.0000,0.0000,0.0000,32.3469,32.3469,1
3,SAEPSO [11],1,1486.0905,187.5307,2.0986,3.8972,168.4732,0.0000,0.0000,0.0000,0.0000,84.0320,84.0320,1
3,SAEPSO* [11],1,1583.8347,166.3574,2.9034,4.6732,168.7974,0.0000,0.0000,0.0000,0.0000,32.5835,32.5835,1
3,UAPSO [25],1,1523.8602,184.6814,2.0352,4.2993,172.0460,0.0000,0.0000,0.0000,0.0000,236.9153,236.9153,1
4,AFSACPSO,1,1560.9509,154.3904,1.8351,4.3960,196.0941,0.0000,0.0000,0.0000,0.0000,136.9600,136.9600,1
4,PSO-Standard,1,1720.1993,151.8064,1.3974,4.3003,248.0971,0.0000,0.0000,0.0000,0.0000,32.7642,32.7642,1
4,PSO-LDIW,1,1534.5941,147.2189,1.5409,5.5838,173.8748,0.0000,0.0000,0.0000,0.0000,31.9056,31.9056,1
4,FIPS,1,1681.9445,187.2077,3.3573,5.4416,159.1720,0.0000,0.0000,0.0000,0.0000,32.2121,32.2121,1
4,CLPSO,1,2038.0195,179.4061,2.5062,6.6904,243.1583,0.0000,0.0000,0.0000,0.0000,32.8623,32.8623,1
4,SAEPSO [11],1,1487.7267,190.5559,2.2122,3.2716,178.2870,0.0000,0.0000,0.0000,0.0000,83.9394,83.9394,1
4,SAEPSO* [11],1,1605.7537,180.8888,4.0297,3.8725,161.4391,0.0000,0.0000,0.0000,0.0000,34.2295,34.2295,1
4,UAPSO [25],1,1684.2765,154.2894,1.3756,5.2087,219.6083,0.0000,0.0000,0.0000,0.0000,254.5544,254.5544,1
5,AFSACPSO,1,1527.8122,152.0462,1.5908,5.5385,170.0741,0.0000,0.0000,0.0000,0.0000,134.2104,134.2104,1
5,PSO-Standard,1,1707.1962,177.5396,3.6764,4.3904,184.7657,0.0000,0.0000,0.0000,0.0000,33.5917,33.5917,1
5,PSO-LDIW,1,1538.5043,152.1360,1.5695,5.0837,182.6278,0.0000,0.0000,0.0000,0.0000,32.3332,32.3332,1
5,FIPS,1,1800.2968,200.5164,3.8595,6.3043,154.7789,0.0000,0.0000,0.0000,0.0000,32.6742,32.6742,1
5,CLPSO,1,1966.3610,205.8671,4.3561,4.3776,223.8606,0.0000,0.0000,0.0000,0.0000,32.0310,32.0310,1
5,SAEPSO [11],1,1501.7143,184.6999,2.1088,4.4059,162.7477,0.0000,0.0000,0.0000,0.0000,83.9810,83.9810,1
