Run,Algorithm,Success,GlobalPathFitness,PathLength,TurningPenalty,ClimbingPenalty,HeightPenalty,CollisionPenalty,TerrainPenalty,DangerZonePenalty,DuplicatePenalty,TotalGlobalPlanTime,AvgGlobalPlanTime,NumGlobalPlans
1,RLAMPSO [36],1,1649.9357,151.6003,1.5375,4.0845,232.1918,0.0000,0.0000,0.0000,0.0000,51.7992,51.7992,1
1,DQN-PSO [34],1,2056.6178,175.3139,2.6388,5.6883,267.6255,0.0000,0.0000,0.0000,0.0000,115.9208,115.9208,1
1,SAC-SAPSO [40],1,1586.4736,153.6446,1.4595,5.7501,182.3999,0.0000,0.0000,0.0000,0.0000,36.6268,36.6268,1
1,PPO-PSO,1,1678.2914,164.8987,1.8271,4.7757,213.3065,0.0000,0.0000,0.0000,0.0000,63.0794,63.0794,1
1,MPSORL,1,1466.8302,189.1947,2.1711,4.1719,155.7292,0.0000,0.0000,0.0000,0.0000,34.1452,34.1452,1
1,AFSACPSO,1,1846.7343,162.8017,2.0778,5.4377,237.2767,0.0000,0.0000,0.0000,0.0000,83.9946,83.9946,1
2,RLAMPSO [36],1,1870.3533,164.8308,2.6531,5.6216,226.5195,0.0000,0.0000,0.0000,0.0000,52.4358,52.4358,1
2,DQN-PSO [34],1,1847.7162,159.5136,1.4127,4.1642,279.2792,0.0000,0.0000,0.0000,0.0000,112.7210,112.7210,1
2,SAC-SAPSO [40],1,1675.8935,154.8698,1.9137,7.8126,149.5279,0.0000,0.0000,9.1411,0.0000,36.9432,36.9432,1
2,PPO-PSO,1,1295.0178,195.0730,2.5153,3.5136,116.8716,0.0000,0.0000,0.0000,0.0000,63.3203,63.3203,1
2,MPSORL,1,1517.5478,192.7804,3.4064,4.3497,137.4766,0.0000,0.0000,0.0000,0.0000,33.5476,33.5476,1
2,AFSACPSO,1,1608.6598,157.8392,2.2982,5.1634,180.9484,0.0000,0.0000,0.0000,0.0000,84.3633,84.3633,1
3,RLAMPSO [36],1,1675.2082,154.4999,2.2000,3.8062,229.2986,0.0000,0.0000,0.0000,0.0000,50.9299,50.9299,1
3,DQN-PSO [34],1,2131.2493,169.7127,1.8148,6.3841,291.2886,0.0000,0.0000,0.0000,0.0000,115.2528,115.2528,1
3,SAC-SAPSO [40],1,1616.5688,153.4865,2.6255,5.9737,161.0406,0.0000,0.0000,0.0000,0.0000,35.8917,35.8917,1
3,PPO-PSO,1,1569.1891,198.1908,3.9395,4.2341,139.4347,0.0000,0.0000,0.0000,0.0000,63.0967,63.0967,1
3,MPSORL,1,1558.0292,226.8958,4.3908,3.3384,133.9423,0.0000,0.0000,0.0000,0.0000,33.8726,33.8726,1
3,AFSACPSO,1,1406.1264,197.1126,2.5266,3.4372,145.1548,0.0000,0.0000,0.0000,0.0000,83.8540,83.8540,1
4,RLAMPSO [36],1,1802.3653,163.7270,1.6393,4.1300,262.1783,0.0000,0.0000,0.0000,0.0000,53.8193,53.8193,1
4,DQN-PSO [34],1,1726.1668,160.4601,1.7443,5.0543,223.0449,0.0000,0.0000,0.0000,0.0000,111.9722,111.9722,1
4,SAC-SAPSO [40],1,1749.4430,157.6311,1.7276,4.8481,234.6865,0.0000,0.0000,0.0000,0.0000,38.0956,38.0956,1
4,PPO-PSO,1,1498.0084,192.4566,2.6479,4.4301,146.8533,0.0000,0.0000,0.0000,0.0000,63.1460,63.1460,1
4,MPSORL,1,1480.1232,196.9755,2.2353,4.6570,144.3662,0.0000,0.0000,0.0000,0.0000,34.5455,34.5455,1
4,AFSACPSO,1,1391.7497,199.9349,2.5049,3.4154,141.2906,0.0000,0.0000,0.0000,0.0000,84.7827,84.7827,1
5,RLAMPSO [36],1,1710.7559,152.4098,2.0794,4.5295,226.5000,0.0000,0.0000,0.0000,0.0000,52.0075,52.0075,1
5,DQN-PSO [34],1,2197.4069,200.4226,5.1180,4.8371,258.4447,0.0000,0.0000,0.0000,0.0000,113.5220,113.5220,1
5,SAC-SAPSO [40],1,1834.6347,184.5986,3.2060,3.2010,248.2642,0.0000,0.0000,0.0000,0.0000,37.6286,37.6286,1
5,PPO-PSO,1,1672.8375,270.9067,6.1628,3.1096,112.1577,0.0000,0.0000,0.0000,0.0000,62.9690,62.9690,1
